"","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",2018
Количество малых  предприятий (ед.),310,386,484,739,622,622,600,632,561,584,498
Количество микропредприятий(ед.),2212,3512,3458,6046,6190,5999,6506,5646,5646,4820,4688
Количество средних предприятий(ед.),63,81,108,96,102,89,72,83,93,73,75
Количество индивидуальных предпринимателей (ед.),15352,16458,17149,18109,19425,17820,17431,16946,16744,16271,16164
Среднеспичочная численность малых предприятий (чел.),10568,11818,17039,16192,15277,15699,15230,15502,15460,16015,15770
Среднеспичочная численность микропредприятий (чел.),13432,10366,8741,6846,7689,7747,7804,7804,9682,9414,10371
Среднеспичочная численность средних предприятий (чел.),6300,8561,7621,9927,9072,8260,6383,6349,7760,6001,6015
Инвестиции в основной капитал малых предприятий (тыс.руб.),66903,47562.44,911814,2536622,823100,197194,127428,80900,114300,2623378,753948
Инвестиции в основной капитал микропредприятий (тыс.руб.),470305,32410.9,407784,41670,55108,44093,130690,130690,177987,292880,415355
Инвестиции в основной капитал средних предприятий (тыс.руб.),,,,829700,1061000,689400,1298400,1298400,1314700,904000,905000
Оборот деятельности  малых предприятий (млрд. руб.),18.9,31.02,36.4,45.2,51.3,50.4,50.7,50.5,55.7,64.40000000000001,60.4
Оборот деятельности микропредприятий(млрд. руб.),15.2,9.699999999999999,18.4,20.3,20.2,22.8,22.2,22.2,31.5,33.8,40.4
Оборот деятельности средних предприятий  (млрд. руб.),,,,22.6,28.2,23.2,17.6,15.4,25.2,14.3,14.5
Оборот деятельности индивидуальных предпринимателей  (млрд. руб.),55.7,58.7,43.9,49.4,55.9,67.5,78.3,78.3,72.3,75.7,75.9
